Date,Predicted kWh
2023-05-01,964772.1388418549
2023-05-02,966398.1607543752
2023-05-03,968024.1826668953
2023-05-04,969650.2045794156
2023-05-05,971276.2264919358
2023-05-06,972902.2484044561
2023-05-07,974528.2703169764
2023-05-08,975071.142633832
2023-05-09,976697.1645463522
2023-05-10,978323.1864588725
2023-05-11,979949.2083713927
2023-05-12,981575.230283913
2023-05-13,983201.2521964331
2023-05-14,984827.2741089534
2023-05-15,985370.1464258091
2023-05-16,986996.1683383293
2023-05-17,988622.1902508496
2023-05-18,990248.2121633698
2023-05-19,991874.23407589
2023-05-20,993500.2559884103
2023-05-21,995126.2779009305
2023-05-22,995669.1502177862
2023-05-23,997295.1721303064
2023-05-24,998921.1940428267
2023-05-25,1000547.2159553469
2023-05-26,1002173.2378678671
2023-05-27,1003799.2597803874
2023-05-28,1005425.2816929076
2023-05-29,1005968.1540097633
2023-05-30,1007594.1759222836
2023-05-31,1009220.1978348037
